Term1,Term2,Term3,Frec Trigrama,Frec Contexto (Term1 Term2),Probabilidad Condicional
<s>,a,</s>,1,1,1.0
<s>,admincrud.html,</s>,1,1,1.0
<s>,awanta,</s>,1,1,1.0
<s>,con,los,1,1,1.0
<s>,has,un,1,1,1.0
<s>,igual,el,1,1,1.0
<s>,o,directamente,1,1,1.0
<s>,osea,pero,1,1,1.0
<s>,pense,q,1,1,1.0
<s>,porque,te,1,1,1.0
<s>,tambien,le,1,1,1.0
<s>,todo,feo,1,1,1.0
<s>,tu,pa,1,1,1.0
<s>,we,</s>,1,1,1.0
a,confirmar,?,1,1,1.0
admin,le,da,1,1,1.0
con,los,ojos,1,1,1.0
confirmar,?,</s>,1,1,1.0
copypaste,de,contratacion.php,1,1,1.0
crea,de,chill,1,1,1.0
da,en,nuevo,1,1,1.0
dar,a,confirmar,1,1,1.0
de,chill,</s>,1,1,1.0
de,contratacion.php,</s>,1,1,1.0
de,la,fecha,1,1,1.0
de,seleccionar,salon,1,1,1.0
de,todos,los,1,1,1.0
directamente,lo,crea,1,1,1.0
el,admin,le,1,1,1.0
el,de,la,1,1,1.0
en,nuevo,evento,1,1,1.0
estabas,zzz,</s>,1,1,1.0
falto,de,seleccionar,1,1,1.0
has,un,copypaste,1,1,1.0
igual,el,de,1,1,1.0
imput's,y,selects,1,1,1.0
la,fecha,</s>,1,1,1.0
le,da,en,1,1,1.0
le,tiene,que,1,1,1.0
lo,crea,de,1,1,1.0
los,imput's,y,1,1,1.0
los,ojos,</s>,1,1,1.0
nuevo,evento,</s>,1,1,1.0
o,directamente,lo,1,1,1.0
osea,pero,de,1,1,1.0
pa,?,</s>,1,1,1.0
pense,q,estabas,1,1,1.0
pero,de,todos,1,1,1.0
porque,te,falto,1,1,1.0
q,estabas,zzz,1,1,1.0
que,dar,a,1,1,1.0
salon,creo,</s>,1,1,1.0
seleccionar,salon,creo,1,1,1.0
selects,y,range,1,1,1.0
si,el,admin,1,1,1.0
tambien,le,tiene,1,1,1.0
te,falto,de,1,1,1.0
tiene,que,dar,1,1,1.0
todo,feo,</s>,1,1,1.0
todos,los,imput's,1,1,1.0
tu,pa,?,1,1,1.0
un,copypaste,de,1,1,1.0
y,luego,</s>,1,1,1.0
y,range,</s>,1,1,1.0
y,selects,y,1,1,1.0
ya,?,</s>,1,1,1.0
ya,y,luego,1,1,1.0
<s>,si,</s>,1,2,0.5
<s>,si,el,1,2,0.5
<s>,ya,</s>,1,3,0.3333333333333333
<s>,ya,?,1,3,0.3333333333333333
<s>,ya,y,1,3,0.3333333333333333
